firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Drew,Stanton,QB,09,NOT_ACTIVE,2018,32013030-2d30-3032-3534-3330104af661,00-0025430,STA482517,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Britton,Colquitt,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Tyrod,Taylor,QB,05,STARTED,2018,32013030-2d30-3032-3831-3138b775ef66,00-0028118,TAY764868,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Charley,Hughlett,LS,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3038191b1b93,00-0029008,HUG732560,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Rod,Streater,WR,13,NOT_ACTIVE,2018,32013030-2d30-3032-3931-3239b7e5cd2c,00-0029129,STR304414,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Orson,Charles,TE,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-3134200dc1c7,00-0029414,CHA591533,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Kevin,Zeitler,G,70,STARTED,2018,32013030-2d30-3032-3935-393250b922d8,00-0029592,ZEI626612,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Darren,Fells,TE,88,STARTED,2018,32013030-2d30-3032-3937-33382a9a88e7,00-0029738,FEL484741,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Christopher,Hubbard,G,74,STARTED,2018,32013030-2d30-3032-3939-3633f9e311fc,00-0029963,HUB174074,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
J.C.,Tretter,T,64,STARTED,2018,32013030-2d30-3033-3030-3736f297739d,00-0030076,TRE768289,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Jamie,Collins,LB,51,STARTED,2018,32013030-2d30-3033-3034-3231ceb381de,00-0030421,COL607549,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Earl,Watford,OL,71,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-30346b33fb4c,00-0030504,WAT147534,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Carlos,Hyde,RB,34,STARTED,2018,32013030-2d30-3033-3130-3435b2554fb3,00-0031045,HYD402541,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Terrance,Mitchell,DB,39,STARTED,2018,32013030-2d30-3033-3130-3937b6f75683,00-0031097,MIT731784,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Chris,Smith,DL,50,STARTED,2018,32013030-2d30-3033-3132-3634dc4d3e60,00-0031264,SMI141571,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
T.J.,Carrie,DB,38,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-3639766122e4,00-0031269,CAR470432,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Christian,Kirksey,LB,58,NOT_ACTIVE,2018,32013030-2d30-3033-3133-3631e1e83681,00-0031361,KIR636906,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Jarvis,Landry,WR,80,STARTED,2018,32013030-2d30-3033-3133-3832ba34ef7f,00-0031382,LAN163029,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Greg,Robinson,T,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-383650e0f568,00-0031386,ROB501818,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
E.J.,Gaines,DB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-393468341241,00-0031394,GAI292759,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Joel,Bitonio,G,75,STARTED,2018,32013030-2d30-3033-3134-3236e0dc80a7,00-0031426,BIT316411,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Denzel,Rice,DB,37,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-38386e7c12e0,00-0031688,RIC078760,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Carl,Davis,NT,94,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-333893453a72,00-0031938,DAV212103,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Damarious,Randall,DB,23,STARTED,2018,32013030-2d30-3033-3232-3531762584db,00-0032251,RAN052747,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Duke,Johnson,RB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-3537f7a6ee8b,00-0032257,JOH000009,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Anthony,Zettel,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-3335ea9af7fc,00-0032435,ZET629687,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Briean,Boddy-Calhoun,DB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-31373c3eefbc,00-0032517,BOB326525,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Trevon,Coley,DT,93,STARTED,2018,32013030-2d30-3033-3235-36369ffb0e12,00-0032566,COL378757,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
James,Burgess,OLB,52,STARTED,2018,32013030-2d30-3033-3236-32375efaed1d,00-0032627,BUR081920,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Rashard,Higgins,WR,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3239-3737129a14db,00-0032977,HIG322107,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Emmanuel,Ogbah,DE,90,NOT_ACTIVE,2018,32013030-2d30-3033-3330-373345100cf3,00-0033073,OGB059326,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Derrick,Kindred,DB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3736db35c1bf,00-0033076,KIN192537,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Seth,DeValve,TE,87,NOT_ACTIVE,2018,32013030-2d30-3033-3330-38308194a298,00-0033080,DEV078904,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Joe,Schobert,LB,53,STARTED,2018,32013030-2d30-3033-3331-323591d44e2c,00-0033125,SCH425646,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Devaroe,Lawrence,DT,99,NOT_ACTIVE,2018,32013030-2d30-3033-3335-3031f6d2694c,00-0033501,LAW287201,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Tanner,Vallejo,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3830b9e893f8,00-0033580,VAL641832,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Myles,Garrett,DE,95,STARTED,2018,32013030-2d30-3033-3338-3638e421b62c,00-0033868,GAR528896,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Jabrill,Peppers,DB,22,STARTED,2018,32013030-2d30-3033-3338-3833caf70c60,00-0033883,PEP420619,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
David,Njoku,TE,85,STARTED,2018,32013030-2d30-3033-3338-383510d0af60,00-0033885,NJO355964,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Larry,Ogunjobi,DT,65,STARTED,2018,32013030-2d30-3033-3339-30353efefb43,00-0033905,OGU431455,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Ifeadi,Odenigbo,DE,91,NOT_ACTIVE,2018,32013030-2d30-3033-3339-3639e8fe8498,00-0033969,ODE690714,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Derrick,Willies,WR,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-3538d246015e,00-0034258,WIL593224,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Desmond,Harrison,T,69,STARTED,2018,32013030-2d30-3033-3432-3539adfba8ce,00-0034259,HAR578753,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Austin,Corbett,T,63,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-36316bb3fbb8,00-0034261,COR008097,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Damion,Ratley,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3432-3733f2d9d810,00-0034273,RAT547656,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Greg,Joseph,K,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-35302a2b07d0,00-0034450,JOS208464,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Tavierre,Thomas,DB,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3838f707adb1,00-0034488,THO386668,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
Genard,Avery,LB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3832c0c4a9a7,00-0034682,AVE456819,Cleveland Browns,jets-at-browns-2018-reg-3,2018-09-21T00:20:00.000Z
