firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jason,Peters,T,71,STARTED,2018,32013030-2d30-3032-3235-33311e2f3ae1,00-0022531,PET150539,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Darren,Sproles,RB,43,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3335-3634a4a97bd6,00-0023564,SPR711296,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Haloti,Ngata,DT,94,STARTED,2018,32013030-2d30-3032-3432-323783a41c33,00-0024227,NGA622937,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Corey,Graham,S,24,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-3535b3467cb9,00-0025555,GRA137223,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Chris,Long,DE,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3631-3432365b9cf8,00-0026142,LON213256,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Michael,Bennett,DE,77,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3636-313817d20fee,00-0026618,BEN384391,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Mike,Wallace,WR,14,STARTED,2018,32013030-2d30-3032-3639-30312aa87647,00-0026901,WAL468678,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Malcolm,Jenkins,S,27,STARTED,2018,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Brandon,Graham,DE,55,STARTED,2018,32013030-2d30-3032-3738-36355d1674ee,00-0027865,GRA130064,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Stefen,Wisniewski,C/B,61,STARTED,2018,32013030-2d30-3032-3739-3836917fbb13,00-0027986,WIS575406,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Jason,Kelce,C,62,STARTED,2018,32013030-2d30-3032-3831-323921ba2395,00-0028129,KEL008305,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Rodney,McLeod,S,23,STARTED,2018,32013030-2d30-3032-3838-39398c545840,00-0028899,MCL709174,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Alshon,Jeffery,WR,17,STARTED,2018,32013030-2d30-3032-3931-33376f5ae4ed,00-0029137,JEF498860,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Nick,Foles,QB,09,STARTED,2018,32013030-2d30-3032-3935-3637b84f8e70,00-0029567,FOL058566,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Fletcher,Cox,DT,91,STARTED,2018,32013030-2d30-3032-3936-35338d6f3da5,00-0029653,COX200177,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Brandon,Brooks,G,79,STARTED,2018,32013030-2d30-3032-3936-37399e1d57a3,00-0029679,BRO118473,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
LaRoy,Reynolds,LB,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3939-35351fcee982,00-0029955,REY431570,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Zach,Ertz,TE,86,STARTED,2018,32013030-2d30-3033-3030-3631da16c503,00-0030061,ERT800920,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Markus,Wheaton,WR,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-363073138e33,00-0030460,WHE120992,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Lane,Johnson,T,65,STARTED,2018,32013030-2d30-3033-3035-36317904d9e8,00-0030561,JOH399478,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Chance,Warmack,G,67,NOT_ACTIVE,2018,32013030-2d30-3033-3035-39337924e77d,00-0030593,WAR426211,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Nelson,Agholor,WR,13,STARTED,2018,32013030-2d30-3033-3135-3439d46a53e9,00-0031549,AGH474619,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Jay,Ajayi,RB,26,STARTED,2018,32013030-2d30-3033-3135-3930f0c9d498,00-0031590,AJA771256,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
DeAndre,Carter,WR,16,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3137-36332a66fa20,00-0031763,CAR641798,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Rick,Lovato,LS,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-31317b793032,00-0031911,LOV004796,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
D.J.,Alexander,LB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-35304d817857,00-0031950,ALE227676,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Jordan,Hicks,LB,58,STARTED,2018,32013030-2d30-3033-3231-32398091cea5,00-0032129,HIC516259,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Ronald,Darby,CB,21,STARTED,2018,32013030-2d30-3033-3231-3935e97b369f,00-0032195,DAR187187,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
Kamu,Grugier-Hill,LB,54,STARTED,2018,32013030-2d30-3033-3234-333766f3bc0f,00-0032437,GRU516162,Philadelphia Eagles,falcons-at-eagles-2018-reg-1,2018-09-07T00:20:00.000Z
