firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Dustin,Colquitt,P,02,,2018,32013030-2d30-3032-3335-3334dc594716,00-0023534,COL759300,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Chad,Henne,QB,04,,2018,32013030-2d30-3032-3631-3937880c57ee,00-0026197,HEN507580,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Orlando,Scandrick,CB,22,,2018,32013030-2d30-3032-3632-3833658fbd50,00-0026283,SCA335249,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Frank,Zombo,LB,51,,2018,32013030-2d30-3032-3734-34329ab9993e,00-0027442,ZOM428791,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Eric,Berry,S,29,STARTED,2018,32013030-2d30-3032-3738-3538f51e7659,00-0027858,BER517115,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Justin,Houston,LB,50,STARTED,2018,32013030-2d30-3032-3830-30385a66c5e4,00-0028008,HOU476949,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Allen,Bailey,DL,97,STARTED,2018,32013030-2d30-3032-3830-3234359bbd0a,00-0028024,BAI026169,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Anthony,Sherman,FB,42,,2018,32013030-2d30-3032-3830-3734a4e598e7,00-0028074,SHE644991,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Ron,Parker,S,38,,2018,32013030-2d30-3032-3834-3435d2f74d70,00-0028445,PAR396955,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Mitchell,Schwartz,T,71,STARTED,2018,32013030-2d30-3032-3932-35335aabe869,00-0029253,SCH763124,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
Jeff,Allen,G,73,STARTED,2018,32013030-2d30-3032-3935-323466db1abf,00-0029524,ALL482500,Kansas City Chiefs,raiders-at-chiefs-2018-reg-17,2018-12-30T21:25:00.000Z
