firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Matt,Bryant,K,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3035-373844bb2525,00-0020578,BRY500226,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Matt,Schaub,QB,08,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3237-3837e8f3d1a2,00-0022787,SCH085186,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Matt,Ryan,QB,02,STARTED,2018,32013030-2d30-3032-3631-34338634c9b6,00-0026143,RYA238179,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Alex,Mack,C,51,STARTED,2018,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Logan,Paulsen,TE,82,STARTED,2018,32013030-2d30-3032-3732-3135e8b24c00,00-0027215,PAU641214,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Ben,Garland,G,63,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3732-383239af7874,00-0027282,GAR218169,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Julio,Jones,WR,11,STARTED,2018,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Bruce,Carter,LB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-37387a0caed5,00-0027978,CAR624497,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Brooks,Reed,DE,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3830828270d1,00-0027980,REE154467,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
Terrell,McClain,DT,99,STARTED,2018,32013030-2d30-3032-3830-30337040cfc8,00-0028003,MCC342970,Atlanta Falcons,buccaneers-at-falcons-2018-reg-6,2018-10-14T17:00:00.000Z
