firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ryan,Anderson,LB,52,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3235d88bcc2d,00-0033525,AND384426,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Samaje,Perine,RB,32,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3236c4dcdbfe,00-0033526,PER095343,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Montae,Nicholson,S,35,STARTED,2018,32013030-2d30-3033-3335-3237391adee2,00-0033527,NIC604440,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Jeremy,Sprinkle,TE,87,STARTED,2018,32013030-2d30-3033-3335-323861371214,00-0033528,SPR573222,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Chase,Roullier,C,73,STARTED,2018,32013030-2d30-3033-3335-323971c51804,00-0033529,ROU143143,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Josh,Harvey-Clemons,LB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3332b91c33a6,00-0033532,HAR825369,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Fabian,Moreau,CB,31,STARTED,2018,32013030-2d30-3033-3339-3138c4bfa8d0,00-0033918,MOR095343,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Caleb,Brantley,DT,99,NOT_ACTIVE,2018,32013030-2d30-3033-3339-36324f832916,00-0033962,BRA627462,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Danny,Johnson,CB,41,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3430-3731c2ebf0d1,00-0034071,JOH165289,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Da'Ron,Payne,DL,95,STARTED,2018,32013030-2d30-3033-3433-33333512bb16,00-0034333,PAY281222,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Troy,Apke,S,30,NOT_ACTIVE,2018,32013030-2d30-3033-3433-33342c1977a5,00-0034334,APK428041,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Shaun Dion,Hamilton,LB,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3336ef84cb7f,00-0034336,HAM345530,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Greg,Stroman,CB,37,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3337dbd14257,00-0034337,STR594753,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Tim,Settle,DL,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-39379f390444,00-0034397,SET509598,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Casey,Dunn,C,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-313252a2822d,00-0034712,DUN512956,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Geron,Christian,T,74,NOT_ACTIVE,2018,32013030-2d30-3033-3438-3137496f8400,00-0034817,CHR356698,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Adonis,Alexander,CB,39,NOT_ACTIVE,2018,32013030-2d30-3033-3438-34307f64ebc3,00-0034840,ALE063428,Washington Redskins,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Julius,Peppers,DE,90,STARTED,2018,32013030-2d30-3032-3131-34302c0d72b9,00-0021140,PEP422041,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Mike,Adams,FS,29,STARTED,2018,32013030-2d30-3032-3232-343712124fee,00-0022247,ADA515576,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Thomas,Davis,OLB,58,STARTED,2018,32013030-2d30-3032-3334-343878a96a3b,00-0023448,DAV768681,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Greg,Olsen,TE,88,STARTED,2018,32013030-2d30-3032-3534-3138dcd6869e,00-0025418,OLS094822,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Ryan,Kalil,C,67,STARTED,2018,32013030-2d30-3032-3534-34363fb14b0e,00-0025446,KAL275632,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Chris,Clark,T,74,STARTED,2018,32013030-2d30-3032-3539-303067f03e25,00-0025900,CLA232975,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
J.J.,Jansen,LS,44,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3630-32372e34eeff,00-0026027,JAN681650,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Graham,Gano,K,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3638-3538ed9f5328,00-0026858,GAN308500,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Captain,Munnerlyn,CB,41,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3639-34347fc19612,00-0026944,MUN472912,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Kyle,Love,NT,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3732-33369bfacc36,00-0027236,LOV026391,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Marshall,Newhouse,T,71,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3737-36382c689413,00-0027768,NEW220274,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Cam,Newton,QB,01,STARTED,2018,32013030-2d30-3032-3739-33399bbb0097,00-0027939,NEW693984,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Torrey,Smith,WR,11,STARTED,2018,32013030-2d30-3032-3739-393641e0521b,00-0027996,SMI344958,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Colin,Jones,DB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3831-3238c7b26a42,00-0028128,JON179862,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Mario,Addison,DE,97,STARTED,2018,32013030-2d30-3032-3833-3339b613b9ab,00-0028339,ADD494264,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Ben,Jacobs,LB,53,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3836-3938bb23227d,00-0028698,JAC704560,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Luke,Kuechly,LB,59,STARTED,2018,32013030-2d30-3032-3932-34382f0a2113,00-0029248,KUE289610,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Amini,Silatolu,G,65,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3932-35341d461472,00-0029254,SIL132154,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Jarius,Wright,WR,13,STARTED,2018,32013030-2d30-3032-3935-3732c16fcd87,00-0029572,WRI391959,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Greg,Van Roten,G,73,STARTED,2018,32013030-2d30-3032-3936-383590699ce0,00-0029685,VAN749202,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Dontari,Poe,NT,95,STARTED,2018,32013030-2d30-3032-3936-38388636b4cc,00-0029688,POE346076,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
C.J.,Anderson,RB,20,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3938-35347ae56d7e,00-0029854,AND163330,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Wes,Horton,DE,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3032-35312308ae14,00-0030251,HOR723162,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Kawann,Short,DT,99,STARTED,2018,32013030-2d30-3033-3034-343818f5686c,00-0030448,SHO598059,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Eric,Reid,DB,25,STARTED,2018,32013030-2d30-3033-3035-343810f342d3,00-0030548,REI265485,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Tyler,Larsen,C,69,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-3639233ab133,00-0030869,LAR424403,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Trai,Turner,G,70,STARTED,2018,32013030-2d30-3033-3133-3632143c144d,00-0031362,TUR715469,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Michael,Palardy,P,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-36335b1dc371,00-0031363,PAL050322,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Chris,Manhertz,TE,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3134-3834c746ce64,00-0031484,MAN285874,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Efe,Obada,DE,94,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-303093b35763,00-0031500,OBA109286,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Shaq,Thompson,LB,54,STARTED,2018,32013030-2d30-3033-3135-353083b23e2f,00-0031550,GRE573058,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
David,Mayo,LB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-393670d7ca78,00-0031596,MAY646134,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Cameron,Artis-Payne,RB,34,NOT_ACTIVE,2018,32013030-2d30-3033-3135-393950ac06b4,00-0031599,ART387205,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Taylor,Heinicke,QB,06,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3138-30306e192ab1,00-0031800,HEI610185,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Damiere,Byrd,WR,18,NOT_ACTIVE,2018,32013030-2d30-3033-3138-3638bc374295,00-0031868,BYR127180,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Devin,Funchess,WR,17,STARTED,2018,32013030-2d30-3033-3230-3535a2b56e84,00-0032055,FUN405541,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Josh,Hawkins,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-33352a3eb331,00-0032635,HAW429697,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
James,Bradberry,DB,24,STARTED,2018,32013030-2d30-3033-3238-3930563dcb7e,00-0032890,BRA092789,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Vernon,Butler,DT,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3239-3637f9bc6c72,00-0032967,BUT599965,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Christian,McCaffrey,RB,22,STARTED,2018,32013030-2d30-3033-3332-3830ec2c3be7,00-0033280,MCC035988,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Curtis,Samuel,WR,10,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3332-3832d7ac289b,00-0033282,SAM633285,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Taylor,Moton,T,72,STARTED,2018,32013030-2d30-3033-3332-3834b26814e1,00-0033284,MOT466221,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Corn,Elder,DB,35,NOT_ACTIVE,2018,32013030-2d30-3033-3332-3839f58948a4,00-0033289,ELD403291,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Alex,Armah,RB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3332-3936a29f674a,00-0033296,ARM000892,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Bryan,Cox,DE,91,NOT_ACTIVE,2018,32013030-2d30-3033-3334-3038e7523b6f,00-0033408,COX151958,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Donte,Jackson,DB,26,STARTED,2018,32013030-2d30-3033-3433-35361557fe54,00-0034356,JAC136548,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Rashaan,Gaulden,DB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3632ac62c4fe,00-0034362,GAU302029,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Ian,Thomas,TE,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-36359b0df136,00-0034365,THO197015,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Marquis,Haynes,LB,98,NOT_ACTIVE,2018,32013030-2d30-3033-3433-38325d523ac8,00-0034382,HAY661575,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Jermaine,Carter,LB,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3936642c6fd0,00-0034396,CAR663960,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Andre,Smith,LB,57,NOT_ACTIVE,2018,32013030-2d30-3033-3434-3330f13967a4,00-0034430,SMI000016,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
Brendan,Mahon,G,63,NOT_ACTIVE,2018,32013030-2d30-3033-3435-3832558bc721,00-0034582,MAH404164,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
D.J.,Moore,WR,12,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-3237a7c47510,00-0034827,MOO272423,Carolina Panthers,panthers-at-redskins-2018-reg-6,2018-10-14T17:00:00.000Z
