firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
L.P.,Ladouceur,LS,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3332-3938bbd87157,00-0023298,LAD000000,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Sean,Lee,ILB,50,STARTED,2018,32013030-2d30-3032-3736-36339b59a826,00-0027663,LEE650245,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Tyron,Smith,T,77,STARTED,2018,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Dan,Bailey,K,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Chris,Jones,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3836-3634e531f84b,00-0028664,JON161572,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Cole,Beasley,WR,11,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3930-3030d51d6c94,00-0029000,BEA434808,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Joe,Looney,C,73,STARTED,2018,32013030-2d30-3032-3932-3738b3560098,00-0029278,LOO721674,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Deonte,Thompson,WR,15,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3933-3838bf78b68b,00-0029388,THO528909,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Jamize,Olawale,FB,49,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-39322aff7ddb,00-0029492,OLA706032,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
Tyrone,Crawford,DE,98,STARTED,2018,32013030-2d30-3032-3936-3431ef6ddb5e,00-0029641,CRA756298,Dallas Cowboys,bengals-at-cowboys-2018-pre-2,2018-08-18T23:00:00.000Z
