firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Clark,Harris,LS,46,,2018,32013030-2d30-3032-3536-3330f6c89614,00-0025630,HAR351770,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Michael,Johnson,DE,90,STARTED,2018,32013030-2d30-3032-3730-3434a7c8c3a3,00-0027044,JOH000003,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Kevin,Huber,P,10,,2018,32013030-2d30-3032-3731-303385b5bb7f,00-0027103,HUB689771,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Vincent,Rey,LB,57,,2018,32013030-2d30-3032-3732-34351c796d75,00-0027245,REY000813,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Carlos,Dunlap,DE,96,STARTED,2018,32013030-2d30-3032-3736-36325b995d23,00-0027662,DUN474478,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Geno,Atkins,DT,97,STARTED,2018,32013030-2d30-3032-3737-32308e698bcb,00-0027720,ATK216644,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
A.J.,Green,WR,18,STARTED,2018,32013030-2d30-3032-3739-3432de086283,00-0027942,GRE034604,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Andy,Dalton,QB,14,STARTED,2018,32013030-2d30-3032-3739-37334d29528c,00-0027973,DAL659900,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Clint,Boling,G,65,STARTED,2018,32013030-2d30-3032-3830-3339d40462db,00-0028039,BOL403287,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Vontaze,Burfict,LB,55,STARTED,2018,32013030-2d30-3032-3839-313258e9d73e,00-0028912,BUR044491,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Randy,Bullock,K,04,,2018,32013030-2d30-3032-3934-3231a256d9de,00-0029421,BUL521842,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Dre,Kirkpatrick,CB,27,STARTED,2018,32013030-2d30-3032-3935-3630505bc918,00-0029560,KIR621103,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Cordy,Glenn,OT,77,STARTED,2018,32013030-2d30-3032-3935-36312db90c5c,00-0029561,GLE000000,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Giovani,Bernard,HB,25,NOT_ACTIVE,2018,32013030-2d30-3033-3034-3536a3d242c7,00-0030456,BER219765,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Shawn,Williams,S,36,STARTED,2018,32013030-2d30-3033-3034-37314e7fa6ec,00-0030471,WIL522311,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Trey,Hopkins,G/C,66,STARTED,2018,32013030-2d30-3033-3037-3831b8e87cce,00-0030781,HOP425040,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Preston,Brown,LB,52,STARTED,2018,32013030-2d30-3033-3131-3731fe6c0e95,00-0031171,BRO581187,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Darqueze,Dennard,CB,21,,2018,32013030-2d30-3033-3133-3830899f89d1,00-0031380,DEN095585,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Bobby,Hart,OT,68,STARTED,2018,32013030-2d30-3033-3136-32322e88539a,00-0031622,HAR659972,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
Matt,Lengel,TE,89,,2018,32013030-2d30-3033-3137-383841dba8d8,00-0031788,LEN185694,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
C.J.,Uzomah,TE,87,STARTED,2018,32013030-2d30-3033-3231-333450a5697e,00-0032134,UZO415291,Cincinnati Bengals,steelers-at-bengals-2018-reg-6,2018-10-14T17:00:00.000Z
