firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Andrew,Whitworth,T,77,STARTED,2019,32013030-2d30-3032-3432-3730192e1f7d,00-0024270,WHI825900,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Eric,Weddle,S,32,STARTED,2019,32013030-2d30-3032-3534-32342b68d751,00-0025424,WED290361,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Clay,Matthews,LB,52,STARTED,2019,32013030-2d30-3032-3730-30322df5b50f,00-0027002,MAT538690,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Jake,McQuaide,LS,44,,2019,32013030-2d30-3032-3833-39348364cc5a,00-0028394,MCQ288110,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Johnny,Hekker,P,06,,2019,32013030-2d30-3032-3838-3732a4291a77,00-0028872,HEK403291,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Greg,Zuerlein,K,04,,2019,32013030-2d30-3032-3936-32318377b74b,00-0029621,ZUE563610,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Michael,Brockers,DL,90,STARTED,2019,32013030-2d30-3032-3936-3330641a3a07,00-0029630,BRO060116,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Nickell,Robey,CB,23,,2019,32013030-2d30-3033-3030-34316c059a73,00-0030041,ROB361684,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Robert,Woods,WR,17,STARTED,2019,32013030-2d30-3033-3034-333120799932,00-0030431,WOO561144,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Brandin,Cooks,WR,12,STARTED,2019,32013030-2d30-3033-3132-333658a3c4ba,00-0031236,COO299382,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Aaron,Donald,DT,99,STARTED,2019,32013030-2d30-3033-3133-38382795bd8e,00-0031388,DON134977,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Blake,Bortles,QB,05,,2019,32013030-2d30-3033-3134-30371c5cfd02,00-0031407,BOR650964,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Troy,Hill,CB,22,STARTED,2019,32013030-2d30-3033-3137-3835eadaed08,00-0031785,HIL626234,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Malcolm,Brown,RB,34,,2019,32013030-2d30-3033-3138-30361fd87e06,00-0031806,BRO550137,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
Dante,Fowler,OLB,56,STARTED,2019,32013030-2d30-3033-3230-35327e89a7eb,00-0032052,FOW382785,Los Angeles Rams,ravens-at-rams-2019-reg-12,2019-11-26T01:15:00.000Z
