firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Morgan,Burnett,S,42,NOT_ACTIVE,2019,32013030-2d30-3032-3736-373610c584f3,00-0027676,BUR426788,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Charley,Hughlett,LS,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3930-3038191b1b93,00-0029008,HUG732560,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Olivier,Vernon,DE,54,STARTED,2019,32013030-2d30-3032-3936-393349c3db48,00-0029693,VER613364,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Christopher,Hubbard,T,74,NOT_ACTIVE,2019,32013030-2d30-3032-3939-3633f9e311fc,00-0029963,HUB174074,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
J.C.,Tretter,C,64,STARTED,2019,32013030-2d30-3033-3030-3736f297739d,00-0030076,TRE768289,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Eric,Kush,G,72,STARTED,2019,32013030-2d30-3033-3030-39343a46bc23,00-0030094,KUS182145,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Demetrius,Harris,TE,88,STARTED,2019,32013030-2d30-3033-3031-3535bd049f8c,00-0030155,HAR363756,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Sheldon,Richardson,DT,98,STARTED,2019,32013030-2d30-3033-3035-3733d0487351,00-0030573,RIC621130,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Justin,McCray,G,67,STARTED,2019,32013030-2d30-3033-3037-3932ce02b2d4,00-0030792,MCC669589,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Terrance,Mitchell,CB,39,STARTED,2019,32013030-2d30-3033-3130-3937b6f75683,00-0031097,MIT731784,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Adarius,Taylor,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-32302a2f1f0a,00-0031120,GLA303597,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
Odell,Beckham,WR,13,STARTED,2019,32013030-2d30-3033-3132-3335cebc9f07,00-0031235,BEC573252,Cleveland Browns,rams-at-browns-2019-reg-3,2019-09-23T00:20:00.000Z
