firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Corey,Liuget,DT,94,,2019,32013030-2d30-3032-3739-3536327d9db8,00-0027956,LIU237308,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Rodney,Hudson,C,61,STARTED,2019,32013030-2d30-3032-3739-39333bb5a9cd,00-0027993,HUD736504,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Dwayne,Harris,WR/RS,17,,2019,32013030-2d30-3032-3831-3134ffabe51a,00-0028114,HAR376781,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Vontaze,Burfict,LB,55,STARTED,2019,32013030-2d30-3032-3839-313258e9d73e,00-0028912,BUR044491,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Derek,Carrier,TE,85,,2019,32013030-2d30-3032-3931-31398fc22e24,00-0029119,CAR471726,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Tahir,Whitehead,LB,59,STARTED,2019,32013030-2d30-3032-3932-3132a04895f8,00-0029212,WHI627494,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Kyle,Wilber,LB,58,,2019,32013030-2d30-3032-3936-343785dc5b11,00-0029647,WIL000201,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Jordan,Devey,OL,65,STARTED,2019,32013030-2d30-3033-3030-3131717e3a00,00-0030011,DEV185707,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Johnathan,Hankins,DT,90,STARTED,2019,32013030-2d30-3033-3030-3633feb17156,00-0030063,HAN169902,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Benson,Mayowa,DE,91,,2019,32013030-2d30-3033-3033-383070c8a327,00-0030380,MAY692147,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Mike,Glennon,QB,07,,2019,32013030-2d30-3033-3035-3230b20b479c,00-0030520,GLE711694,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Jonathan,Cooper,G,70,,2019,32013030-2d30-3033-3035-39304c8d7fe3,00-0030590,COO615714,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Josh,Mauro,DE,97,STARTED,2019,32013030-2d30-3033-3038-38333145de9e,00-0030883,MAU640520,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Ryan,Grant,WR,19,STARTED,2019,32013030-2d30-3033-3130-36387192b459,00-0031068,GRA498062,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Derek,Carr,QB,04,STARTED,2019,32013030-2d30-3033-3132-3830ee8bf3c4,00-0031280,CAR358797,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Gabe,Jackson,G,66,,2019,32013030-2d30-3033-3133-3637bb0cf47c,00-0031367,JAC178303,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Lamarcus,Joyner,S,29,,2019,32013030-2d30-3033-3133-3839f30c04d9,00-0031389,JOY464866,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Darren,Waller,TE,83,STARTED,2019,32013030-2d30-3033-3136-3130db0aa3c4,00-0031610,WAL509040,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Denzelle,Good,T/G,71,STARTED,2019,32013030-2d30-3033-3136-33325238cf6b,00-0031632,GOO127176,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Curtis,Riley,S,35,,2019,32013030-2d30-3033-3230-3432c076d7eb,00-0032042,RIL123071,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Trenton,Brown,T,77,STARTED,2019,32013030-2d30-3033-3230-37315990d6ef,00-0032071,BRO739325,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
J.J.,Nelson,WR,15,,2019,32013030-2d30-3033-3231-3132e3e0bff9,00-0032112,NEL488051,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Tyrell,Williams,WR,16,STARTED,2019,32013030-2d30-3033-3231-36309a9b200a,00-0032160,WIL547641,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Erik,Harris,S,25,,2019,32013030-2d30-3033-3233-3230a8c99039,00-0032320,HAR385656,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Juston,Burris,DB,31,,2019,32013030-2d30-3033-3234-303349c0b79f,00-0032403,BUR608462,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Karl,Joseph,S,42,STARTED,2019,32013030-2d30-3033-3238-38383b00d7e8,00-0032888,JOS219381,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Daryl,Worley,CB,20,STARTED,2019,32013030-2d30-3033-3238-3931e45e576f,00-0032891,WOR616410,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
DeAndre,Washington,RB,33,,2019,32013030-2d30-3033-3239-343011c356cf,00-0032940,WAS000000,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Jalen,Richard,RB,30,,2019,32013030-2d30-3033-3330-3235189aefb0,00-0033025,RIC215247,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
Nicholas,Morrow,LB,50,,2019,32013030-2d30-3033-3334-34354c8b4090,00-0033445,MOR709781,Oakland Raiders,chiefs-at-raiders-2019-reg-2,2019-09-15T20:05:00.000Z
