firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ramon,Foster,G,73,STARTED,2019,32013030-2d30-3032-3635-3631288e45d1,00-0026561,FOS543693,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Joe,Haden,CB,23,STARTED,2019,32013030-2d30-3032-3738-3630d66ee8af,00-0027860,HAD357325,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Tyson,Alualu,DE,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3738-3632acfd1559,00-0027862,ALU059326,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Maurkice,Pouncey,C,53,STARTED,2019,32013030-2d30-3032-3738-3730405fe0c7,00-0027870,POU550260,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Cameron,Heyward,DT,97,STARTED,2019,32013030-2d30-3032-3739-3639abccb9ef,00-0027969,HEY271611,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Mark,Barron,LB,26,STARTED,2019,32013030-2d30-3032-3936-37306f3ce17e,00-0029670,BAR661788,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
David,DeCastro,G,66,STARTED,2019,32013030-2d30-3032-3936-3738bc13a8a0,00-0029678,DEC345732,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Jordan,Dangerfield,S,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-32335ef0885c,00-0030023,DAN230284,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Vince,Williams,LB,98,STARTED,2019,32013030-2d30-3033-3034-33342071e796,00-0030434,WIL554116,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Vance,McDonald,TE,89,STARTED,2019,32013030-2d30-3033-3034-373051aa358e,00-0030470,MCD589658,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Alejandro,Villanueva,T,78,STARTED,2019,32013030-2d30-3033-3036-343841830da1,00-0030648,VIL407040,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Roosevelt,Nix,FB,45,STARTED,2019,32013030-2d30-3033-3037-34313e0b816e,00-0030741,NIX511473,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Jayrone,Elliott,LB,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3037-35324b9cc47b,00-0030752,ELL000000,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Chris,Boswell,K,09,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-3336ea86b338,00-0031136,BOS743355,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Matt,Feiler,T,71,STARTED,2019,32013030-2d30-3033-3131-3432416c366b,00-0031142,FEI526303,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Daniel,McCullers,DT,93,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-3933b0789f4a,00-0031193,MCC732916,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Donte,Moncrief,WR,11,NOT_ACTIVE,2019,32013030-2d30-3033-3133-3339bb068e34,00-0031339,MON117004,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Stephon,Tuitt,DE,91,STARTED,2019,32013030-2d30-3033-3134-3132ea760808,00-0031412,TUI753113,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Jordan,Berry,P,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-30326b699480,00-0031502,BER557478,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
B.J.,Finney,C/G,67,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3137-3739cf340b11,00-0031779,FIN600441,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Anthony,Chickillo,LB,56,NOT_ACTIVE,2019,32013030-2d30-3033-3139-3536d2405a66,00-0031956,CHI218488,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Bud,Dupree,LB,48,STARTED,2019,32013030-2d30-3033-3231-34362ce63265,00-0032146,DUP507860,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Steven,Nelson,CB,22,STARTED,2019,32013030-2d30-3033-3231-3530bb1df3e2,00-0032150,NEL716852,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Tyler,Matakevich,LB,44,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3233-36367e62f465,00-0032366,MAT026118,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Nick,Vannett,TE,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3233-393431c33be1,00-0032394,VAN643509,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Kameron,Canaday,LS,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-38361e10d5ff,00-0032486,CAN058143,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Mike,Hilton,CB,28,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3235-3231a6428120,00-0032521,HIL796239,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Johnny,Holton,WR,80,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3335bb58b1bd,00-0032935,HOL773557,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Artie,Burns,CB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3331-3033d5960a19,00-0033103,BUR507944,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Javon,Hargrave,NT,79,STARTED,2019,32013030-2d30-3033-3331-303959e96cb3,00-0033109,HAR143881,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
James,Conner,RB,30,STARTED,2019,32013030-2d30-3033-3335-35336659a949,00-0033553,CON461999,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Ryan,Switzer,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-363235b307f0,00-0033562,SWI749216,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Zach,Banner,T,72,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3337-3835faaf4004,00-0033785,BAN701016,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
JuJu,Smith-Schuster,WR,19,STARTED,2019,32013030-2d30-3033-3338-35373bf305bb,00-0033857,SMI829709,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
T.J.,Watt,LB,90,STARTED,2019,32013030-2d30-3033-3338-3836fbbcb957,00-0033886,WAT587616,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Cameron,Sutton,CB,20,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-333072f007d8,00-0033930,SUT313402,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Olasunkanmi,Adeniyi,LB,92,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3432-30346c7e8817,00-0034204,ADE457704,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Jaylen,Samuels,RB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3331914412dd,00-0034331,SAM713301,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
Kameron,Kelly,DB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3435-353669ac28f6,00-0034556,KEL666516,Pittsburgh Steelers,ravens-at-steelers-2019-reg-5,2019-10-06T17:00:00.000Z
