firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Donald,Penn,T,72,STARTED,2019,32013030-2d30-3032-3338-3934dd83e74d,00-0023894,PEN244635,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Vernon,Davis,TE,85,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3432-3231bd4de2d9,00-0024221,DAV785142,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Adrian,Peterson,RB,26,STARTED,2019,32013030-2d30-3032-3533-3934ceb6c025,00-0025394,PET260705,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Dominique,Rodgers-Cromartie,CB,45,STARTED,2019,32013030-2d30-3032-3631-3536f8b6d5ad,00-0026156,ROD616216,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Nick,Sundberg,LS,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3637-3134b4545845,00-0026714,SUN263361,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Colt,McCoy,QB,12,NOT_ACTIVE,2019,32013030-2d30-3032-3736-38385988c69a,00-0027688,MCC603149,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Ryan,Kerrigan,LB,91,STARTED,2019,32013030-2d30-3032-3739-3534bcfdd687,00-0027954,KER630730,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Case,Keenum,QB,08,STARTED,2019,32013030-2d30-3032-3839-383680011105,00-0028986,KEE690598,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Josh,Norman,DB,24,STARTED,2019,32013030-2d30-3032-3932-3835d06b9831,00-0029285,NOR291905,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Tony,Bergstrom,OL,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3939a448c5fa,00-0029699,BER172402,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Jon,Bostic,LB,53,STARTED,2019,32013030-2d30-3033-3030-3634ae6893cd,00-0030064,BOS528427,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Dustin,Hopkins,K,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-39382742cd86,00-0030098,HOP165345,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Tress,Way,P,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3430b5e6e73a,00-0030140,WAY228645,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Chris,Thompson,RB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3034ec604bfe,00-0030404,THO499404,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Jordan,Reed,TE,86,NOT_ACTIVE,2019,32013030-2d30-3033-3034-3732a77a3295,00-0030472,REE302847,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Paul,Richardson,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-35379863ad69,00-0031257,RIC593564,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Aaron,Colvin,DB,47,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3132-35398007ec79,00-0031259,COL801093,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Morgan,Moses,T,76,STARTED,2019,32013030-2d30-3033-3133-3330c6deaf71,00-0031330,MOS280929,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Deshazor,Everett,S,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3138-34344b4501a5,00-0031844,EVE115531,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Quinton,Dunbar,CB,23,NOT_ACTIVE,2019,32013030-2d30-3033-3230-3037b85a2511,00-0032007,DUN101336,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Brandon,Scherff,G,75,STARTED,2019,32013030-2d30-3033-3230-3533a93ff23a,00-0032053,SCH135412,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
T.Y.,McGill,DT,95,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3231-363299a61229,00-0032162,MCG421261,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Ereck,Flowers,T,77,STARTED,2019,32013030-2d30-3033-3232-3539a33cd163,00-0032259,FLO325059,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Landon,Collins,S,20,STARTED,2019,32013030-2d30-3033-3232-3632b96a69a3,00-0032262,COL624212,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Cassanova,McKinzy,LB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-35311d0fcad3,00-0032751,MCK676895,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
Matt,Ioannidis,DL,98,STARTED,2019,32013030-2d30-3033-3237-38313b4640a5,00-0032781,IOA458455,Washington Redskins,cowboys-at-redskins-2019-reg-2,2019-09-15T17:00:00.000Z
