firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Cameron,Wake,OLB,91,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3333-36388eaa04cb,00-0023368,WAK155481,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Delanie,Walker,TE,82,NOT_ACTIVE,2019,32013030-2d30-3032-3433-38399dd62eb4,00-0024389,WAL115671,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Brett,Kern,P,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3538-3235a1e18149,00-0025825,KER326640,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Wesley,Woodyard,LB,59,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3538-3238c70ef469,00-0025828,WOO711929,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Rodger,Saffold,G,76,STARTED,2019,32013030-2d30-3032-3736-3438d784d863,00-0027648,SAF408541,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Jurrell,Casey,DT,99,STARTED,2019,32013030-2d30-3032-3830-3135e8634a8a,00-0028015,CAS224804,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Dion,Lewis,RB,33,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3830-38378fb2c29a,00-0028087,LEW218646,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Beau,Brinkley,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3931-333484cf3b24,00-0029134,BRI416479,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Ben,Jones,C,60,STARTED,2019,32013030-2d30-3032-3934-3133579fc443,00-0029413,JON078067,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
Dennis,Kelly,T/G,71,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-31398e3f29dc,00-0029419,KEL539857,Tennessee Titans,buccaneers-at-titans-2019-reg-8,2019-10-27T17:00:00.000Z
