firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Dustin,Colquitt,P,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3335-3334dc594716,00-0023534,COL759300,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Chad,Henne,QB,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3631-3937880c57ee,00-0026197,HEN507580,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Anthony,Sherman,RB,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3830-3734a4e598e7,00-0028074,SHE644991,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Mitchell,Schwartz,T,71,STARTED,2019,32013030-2d30-3032-3932-35335aabe869,00-0029253,SCH763124,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Jeff,Allen,G,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-323466db1abf,00-0029524,ALL482500,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Morris,Claiborne,DB,20D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-37364cb5b6dc,00-0029676,CLA042651,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Tyrann,Mathieu,DB,32,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-353931f5eb98,00-0030459,MAT195206,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Alex,Okafor,LB,97,STARTED,2019,32013030-2d30-3033-3035-30335ddfaae5,00-0030503,OKA207645,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Travis,Kelce,TE,87,STARTED,2019,32013030-2d30-3033-3035-3036654ef292,00-0030506,KEL012458,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Eric,Fisher,T,72,STARTED,2019,32013030-2d30-3033-3035-38349e1843d7,00-0030584,FIS336183,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
James,Winchester,LS,41,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3036-3135eb3c59a2,00-0030615,WIN034202,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Daniel,Sorensen,DB,49,STARTED,2019,32013030-2d30-3033-3036-363524b99d3d,00-0030665,SOR181831,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Damien,Williams,RB,26O,STARTED,2019,32013030-2d30-3033-3038-3734bb46867c,00-0030874,WIL206455,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Laurent,Duvernay-Tardif,G,76,STARTED,2019,32013030-2d30-3033-3130-3232da9036c6,00-0031022,DUV489970,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Carlos,Hyde,RB,34O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3435b2554fb3,00-0031045,HYD402541,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Bashaud,Breeland,DB,21,STARTED,2019,32013030-2d30-3033-3130-353214e9421d,00-0031052,BRE183598,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
De'Anthony,Thomas,RB,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3630d691497a,00-0031060,THO095665,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Jeremiah,Attaochu,LB,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-35385aa10fc4,00-0031258,ATT290361,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Sammy,Watkins,WR,14,STARTED,2019,32013030-2d30-3033-3133-32353107e672,00-0031325,WAT270480,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Anthony,Hitchens,LB,53,STARTED,2019,32013030-2d30-3033-3133-3438c1f19e97,00-0031348,HIT298611,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Justin,Hamilton,DT,74,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3136-333668060864,00-0031636,HAM241071,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
Xavier,Williams,DT,98,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3137-3133516f7f7b,00-0031713,WIL577675,,Kansas City Chiefs,49ers-at-chiefs-2019-pre-3,2019-08-25T00:00:00.000Z
